Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item ID,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
CASH,3,4,70.37999725,260.6499939,Advance shipping,0,71,Music,Guayama,Puerto Rico,XXXXXXXXX,Signe,19020,Walton,XXXXXXXXX,Consumer,PR,6496 Harvest Highlands,784,9,Discs Shop,17.98249054,-66.1126709,Pacific Asia,Guwahati,India,19020,6/6/2018 3:00,85816,1358,0,0,189131,260.6499939,0.270000011,1,260.6499939,260.6499939,70.37999725,South Asia,Assam,CLOSED,,1358,71,,http://images.acmesports.sports/Rock+music,Rock music,260.6499939,0,6/9/2018 3:00,Standard Class
CASH,2,2,20.93000031,209.3500061,Shipping on time,0,76,Women's Clothing,Caguas,Puerto Rico,XXXXXXXXX,Fallon,20389,Oneill,XXXXXXXXX,Home Office,PR,8818 Easy Oak Point,725,4,Apparel,18.21435928,-66.0370636,Pacific Asia,Bangkok,Tailandia,20389,6/26/2018 0:52,85817,1363,6.46999979,0.029999999,189132,215.8200073,0.100000001,1,215.8200073,209.3500061,20.93000031,Southeast Asia,Bangkok,CLOSED,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,6/28/2018 0:52,Second Class
PAYMENT,5,4,45.04000092,250.2200012,Late delivery,1,71,Music,Asheboro,EE. UU.,XXXXXXXXX,Haley,18962,Battle,XXXXXXXXX,Consumer,NC,5645 Quaking Anchor Path,27203,9,Discs Shop,35.70111466,-79.82025147,Pacific Asia,Caloocan,Filipinas,18962,6/5/2018 4:30,85818,1358,10.43000031,0.039999999,189133,260.6499939,0.180000007,1,260.6499939,250.2200012,45.04000092,Southeast Asia,Capital Nacional,PENDING_PAYMENT,,1358,71,,http://images.acmesports.sports/Rock+music,Rock music,260.6499939,0,6/10/2018 4:30,Standard Class
PAYMENT,0,0,59.04000092,168.6799927,Shipping on time,0,70,Men's Clothing,Greeley,EE. UU.,XXXXXXXXX,Dakota,18863,Hopkins,XXXXXXXXX,Home Office,CO,1987 Indian Autumn Swale,80631,4,Apparel,40.38983154,-104.7089157,Pacific Asia,Anyang,Corea del Sur,18863,6/3/2018 22:03,85819,1357,42.16999817,0.200000003,189134,210.8500061,0.349999994,1,210.8500061,168.6799927,59.04000092,Eastern Asia,Gyeonggi,PENDING_PAYMENT,,1357,70,,http://images.acmesports.sports/Men+gala+suit,Men's gala suit,210.8500061,0,6/4/2018 10:03,Same Day
PAYMENT,6,4,-96.12000275,36.97000122,Late delivery,1,75,Video Games,Visalia,EE. UU.,XXXXXXXXX,Jenette,19768,Jacobs,XXXXXXXXX,Corporate,CA,7469 Misty Log Estates,,9,Discs Shop,36.31933212,-119.2960815,Pacific Asia,Zhengzhou,China,19768,6/17/2018 2:34,85820,1362,2.779999971,0.07,189135,39.75,-2.599999905,1,39.75,36.97000122,-96.12000275,Eastern Asia,Henan,PENDING_PAYMENT,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,6/23/2018 2:34,Standard Class
PAYMENT,2,4,26.36000061,210.8500061,Advance shipping,0,70,Men's Clothing,Caguas,Puerto Rico,XXXXXXXXX,Angelica,18879,Schultz,XXXXXXXXX,Corporate,PR,595 Sunny Line,725,4,Apparel,18.2638607,-66.03705597,Pacific Asia,Qingdao,China,18879,6/3/2018 20:19,85821,1357,0,0,189136,210.8500061,0.129999995,1,210.8500061,210.8500061,26.36000061,Eastern Asia,Shandong,PENDING_PAYMENT,,1357,70,,http://images.acmesports.sports/Men+gala+suit,Men's gala suit,210.8500061,0,6/5/2018 20:19,Standard Class
TRANSFER,2,4,-5.739999771,32.59999847,Advance shipping,0,75,Video Games,Chicago,EE. UU.,XXXXXXXXX,Hedwig,19814,Huffman,XXXXXXXXX,Corporate,IL,8352 Pleasant Rise Valley,60621,9,Discs Shop,41.77276993,-87.63503265,Pacific Asia,Gujranwala,Pakistán,19814,6/17/2018 20:24,85822,1362,7.159999847,0.180000007,189137,39.75,-0.180000007,1,39.75,32.59999847,-5.739999771,South Asia,Punyab,PENDING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,6/19/2018 20:24,Standard Class
CASH,5,4,-7.849999905,11.53999996,Late delivery,1,74,Toys,Lawrence,EE. UU.,XXXXXXXXX,Christen,19522,Valdez,XXXXXXXXX,Consumer,MA,6449 Lazy Robin Drive,1841,7,Fan Shop,42.71463394,-71.16407776,Pacific Asia,Depok,Indonesia,19522,6/13/2018 3:09,85823,1361,0,0,189138,11.53999996,-0.680000007,1,11.53999996,11.53999996,-7.849999905,Southeast Asia,Java Occidental,CLOSED,,1361,74,,http://images.acmesports.sports/Toys ,Toys ,11.53999996,0,6/18/2018 3:09,Standard Class
TRANSFER,3,2,-275.1700134,215.8200073,Late delivery,1,76,Women's Clothing,Highland,EE. UU.,XXXXXXXXX,Eve,20590,Williams,XXXXXXXXX,Corporate,CA,7127 Quiet Zephyr Nook,92346,4,Apparel,34.1289711,-117.1792984,Pacific Asia,Townsville,Australia,20590,6/29/2018 6:50,85824,1363,0,0,189139,215.8200073,-1.279999971,1,215.8200073,215.8200073,-275.1700134,Oceania,Queensland,PENDING,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,7/1/2018 6:50,Second Class
CASH,0,0,66.37999725,196.3999939,Shipping on time,0,76,Women's Clothing,Caguas,Puerto Rico,XXXXXXXXX,Sarah,20510,Slater,XXXXXXXXX,Home Office,PR,1761 Noble Barn Heath,725,4,Apparel,18.23447228,-66.03704834,Pacific Asia,Brisbane,Australia,20510,6/27/2018 23:47,85825,1363,19.42000008,0.090000004,189140,215.8200073,0.340000004,1,215.8200073,196.3999939,66.37999725,Oceania,Queensland,CLOSED,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,6/28/2018 11:47,Same Day
