Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,2,2,3.109999895,10.72999954,Shipping on time,0,74,Toys,Caguas,Puerto Rico,XXXXXXXXX,Ivory,19749,Hester,XXXXXXXXX,Corporate,PR,2311 Green Zephyr Rise,725,7,Fan Shop,18.29293823,-66.0370636,Pacific Asia,Sandakan,Malasia,19749,3/16/2018 19:12,79328,1361,0.810000002,0.07,182643,11.53999996,0.289999992,1,11.53999996,10.72999954,3.109999895,Southeast Asia,Sabah,COMPLETE,,1361,74,,http://images.acmesports.sports/Toys ,Toys ,11.53999996,0,3/18/2018 19:12,Second Class
TRANSFER,2,1,-143.3000031,179.1300049,Shipping canceled,0,76,Women's Clothing,Tampa,EE. UU.,XXXXXXXXX,Erica,20450,Sutton,XXXXXXXXX,Corporate,FL,252 Golden Goose Loop,33624,4,Apparel,27.10077477,-82.4425354,Pacific Asia,Cainta,Filipinas,20450,3/27/2018 0:31,79329,1363,36.68999863,0.170000002,182644,215.8200073,-0.800000012,1,215.8200073,179.1300049,-143.3000031,Southeast Asia,Calabarzón,SUSPECTED_FRAUD,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,3/29/2018 0:31,First Class
DEBIT,6,4,-75.54000092,215.8200073,Late delivery,1,76,Women's Clothing,Caguas,Puerto Rico,XXXXXXXXX,Winter,20698,Maddox,XXXXXXXXX,Consumer,PR,2737 Pleasant Parade,725,4,Apparel,18.2315445,-66.0370636,Pacific Asia,Taizhou,China,20698,3/31/2018 0:43,79330,1363,0,0,182645,215.8200073,-0.349999994,1,215.8200073,215.8200073,-75.54000092,Eastern Asia,Jiangsu,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,4/6/2018 0:43,Standard Class
DEBIT,3,4,76.26999664,200.7100067,Advance shipping,0,76,Women's Clothing,Mentor,EE. UU.,XXXXXXXXX,Whitney,20655,Collins,XXXXXXXXX,Corporate,OH,5808 Silver Rise Circuit,44060,4,Apparel,41.71363831,-81.36167908,Pacific Asia,Rangún,Myanmar (Birmania),20655,3/30/2018 8:02,79331,1363,15.10999966,0.07,182646,215.8200073,0.379999995,1,215.8200073,200.7100067,76.26999664,Southeast Asia,Rangún,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,4/2/2018 8:02,Standard Class
TRANSFER,3,4,15.35999966,33.38999939,Advance shipping,0,75,Video Games,Amarillo,EE. UU.,XXXXXXXXX,Bo,20230,Contreras,XXXXXXXXX,Consumer,TX,5763 Crystal Alley,79109,9,Discs Shop,35.18754196,-101.8676224,Pacific Asia,Medan,Indonesia,20230,3/23/2018 11:12,79332,1362,6.360000134,0.159999996,182647,39.75,0.460000008,1,39.75,33.38999939,15.35999966,Southeast Asia,Sumatra Septentrional,PROCESSING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/26/2018 11:12,Standard Class
DEBIT,2,4,0,39.34999847,Advance shipping,0,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Shea,19954,Kinney,XXXXXXXXX,Consumer,PR,4958 Heather Panda Bank,725,9,Discs Shop,18.23293114,-66.0370636,Pacific Asia,Tiruppur,India,19954,3/20/2018 2:42,79333,1362,0.400000006,0.01,182648,39.75,0,1,39.75,39.34999847,0,South Asia,Tamil Nadu,ON_HOLD,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/22/2018 2:42,Standard Class
CASH,4,4,8.350000381,33.38999939,Shipping on time,0,75,Video Games,Baldwin Park,EE. UU.,XXXXXXXXX,Venus,20086,Barron,XXXXXXXXX,Home Office,CA,4957 Lost Quail Rise,91706,9,Discs Shop,34.10251999,-117.9649735,Pacific Asia,Mathura,India,20086,3/21/2018 3:21,79334,1362,6.360000134,0.159999996,182649,39.75,0.25,1,39.75,33.38999939,8.350000381,South Asia,Uttar Pradesh,CLOSED,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/25/2018 3:21,Standard Class
TRANSFER,1,0,,207.1900024,Late delivery,1,76,Women's Clothing,San Jose,EE. UU.,XXXXXXXXX,Dominique,20532,Short,XXXXXXXXX,Home Office,CA,7746 Hazy Prairie Drive,95112,4,Apparel,37.33271027,-121.8783722,Pacific Asia,Guangzhou,China,20532,3/28/2018 8:20,79335,1363,8.630000114,0.039999999,182650,215.8200073,0.449999988,1,215.8200073,207.1900024,93.23000336,Eastern Asia,Guangdong,PROCESSING,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,3/28/2018 20:20,Same Day
PAYMENT,4,4,-66.77999878,38.15999985,Shipping on time,0,75,Video Games,Las Vegas,EE. UU.,XXXXXXXXX,Sheila,19951,Allen,XXXXXXXXX,Consumer,NV,6538 Quaking Subdivision,89103,9,Discs Shop,36.11117935,-115.2110291,Pacific Asia,Thiruvananthapuram,India,19951,3/20/2018 1:33,79336,1362,1.590000033,0.039999999,182651,39.75,-1.75,1,39.75,38.15999985,-66.77999878,South Asia,Kerala,PAYMENT_REVIEW,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/24/2018 1:33,Standard Class
CASH,5,4,3.460000038,39.34999847,Late delivery,1,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Noel,19882,Pickett,XXXXXXXXX,Home Office,PR,595 Hidden Parade,725,9,Discs Shop,18.26457024,-66.03705597,Pacific Asia,Lahore,Pakistán,19882,3/18/2018 22:46,79337,1362,0.400000006,0.01,182652,39.75,0.090000004,1,39.75,39.34999847,3.460000038,South Asia,Punyab,CLOSED,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/23/2018 22:46,Standard Class
TRANSFER,2,2,8.680000305,33.38999939,Shipping on time,0,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Josephine,19834,Harding,XXXXXXXXX,Consumer,PR,1208 Cotton Bluff Carrefour,725,9,Discs Shop,18.21447754,-66.03705597,Pacific Asia,Newcastle,Australia,19834,3/18/2018 4:09,79338,1362,6.360000134,0.159999996,182653,39.75,0.25999999,1,39.75,33.38999939,8.680000305,Oceania,Nueva Gales del Sur,PENDING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/20/2018 4:09,Second Class
TRANSFER,1,0,12.71000004,32.59999847,Shipping canceled,0,75,Video Games,Los Angeles,EE. UU.,XXXXXXXXX,Taylor,20336,Knight,XXXXXXXXX,Corporate,CA,7909 Amber View,90024,9,Discs Shop,34.06435013,-118.437088,Pacific Asia,Sydney,Australia,20336,3/25/2018 4:19,79339,1362,7.159999847,0.180000007,182654,39.75,0.389999986,1,39.75,32.59999847,12.71000004,Oceania,Nueva Gales del Sur,CANCELED,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,3/25/2018 16:19,Same Day
