Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,2,2,3.109999895,10.72999954,Shipping on time,0,74,Toys,Caguas,Puerto Rico,XXXXXXXXX,Ivory,19749,Hester,XXXXXXXXX,Corporate,PR,2311 Green Zephyr Rise,725,7,Fan Shop,18.29293823,-66.0370636,Pacific Asia,Sandakan,Malasia,19749,2/15/2018 6:30,78014,1361,0.810000002,0.07,181329,11.53999996,0.289999992,1,11.53999996,10.72999954,3.109999895,Southeast Asia,Sabah,COMPLETE,,1361,74,,http://images.acmesports.sports/Toys ,Toys ,11.53999996,0,2/17/2018 6:30,Second Class
TRANSFER,2,1,-143.3000031,179.1300049,Shipping canceled,0,76,Women's Clothing,Tampa,EE. UU.,XXXXXXXXX,Erica,20450,Sutton,XXXXXXXXX,Corporate,FL,252 Golden Goose Loop,33624,4,Apparel,27.10077477,-82.4425354,Pacific Asia,Cainta,Filipinas,20450,2/24/2018 12:05,78385,1363,36.68999863,0.170000002,181700,215.8200073,-0.800000012,1,215.8200073,179.1300049,-143.3000031,Southeast Asia,Calabarzón,SUSPECTED_FRAUD,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,2/26/2018 12:05,First Class
DEBIT,6,4,-75.54000092,215.8200073,Late delivery,1,76,Women's Clothing,Caguas,Puerto Rico,XXXXXXXXX,Winter,20698,Maddox,XXXXXXXXX,Consumer,PR,2737 Pleasant Parade,725,4,Apparel,18.2315445,-66.0370636,Pacific Asia,Taizhou,China,20698,2/28/2018 2:58,77595,1363,0,0,180910,215.8200073,-0.349999994,1,215.8200073,215.8200073,-75.54000092,Eastern Asia,Jiangsu,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,3/6/2018 2:58,Standard Class
DEBIT,3,4,76.26999664,200.7100067,Advance shipping,0,76,Women's Clothing,Mentor,EE. UU.,XXXXXXXXX,Whitney,20655,Collins,XXXXXXXXX,Corporate,OH,5808 Silver Rise Circuit,44060,4,Apparel,41.71363831,-81.36167908,Pacific Asia,Rangún,Myanmar (Birmania),20655,2/27/2018 11:54,77255,1363,15.10999966,0.07,180570,215.8200073,0.379999995,1,215.8200073,200.7100067,76.26999664,Southeast Asia,Rangún,COMPLETE,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,3/2/2018 11:54,Standard Class
TRANSFER,3,4,15.35999966,33.38999939,Advance shipping,0,75,Video Games,Amarillo,EE. UU.,XXXXXXXXX,Bo,20230,Contreras,XXXXXXXXX,Consumer,TX,5763 Crystal Alley,79109,9,Discs Shop,35.18754196,-101.8676224,Pacific Asia,Medan,Indonesia,20230,2/21/2018 7:01,78924,1362,6.360000134,0.159999996,182239,39.75,0.460000008,1,39.75,33.38999939,15.35999966,Southeast Asia,Sumatra Septentrional,PROCESSING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/24/2018 7:01,Standard Class
DEBIT,2,4,0,39.34999847,Advance shipping,0,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Shea,19954,Kinney,XXXXXXXXX,Consumer,PR,4958 Heather Panda Bank,725,9,Discs Shop,18.23293114,-66.0370636,Pacific Asia,Tiruppur,India,19954,2/18/2018 6:19,77649,1362,0.400000006,0.01,180964,39.75,0,1,39.75,39.34999847,0,South Asia,Tamil Nadu,ON_HOLD,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/20/2018 6:19,Standard Class
CASH,4,4,8.350000381,33.38999939,Shipping on time,0,75,Video Games,Baldwin Park,EE. UU.,XXXXXXXXX,Venus,20086,Barron,XXXXXXXXX,Home Office,CA,4957 Lost Quail Rise,91706,9,Discs Shop,34.10251999,-117.9649735,Pacific Asia,Mathura,India,20086,2/19/2018 4:34,78319,1362,6.360000134,0.159999996,181634,39.75,0.25,1,39.75,33.38999939,8.350000381,South Asia,Uttar Pradesh,CLOSED,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/23/2018 4:34,Standard Class
TRANSFER,1,0,,207.1900024,Late delivery,1,76,Women's Clothing,San Jose,EE. UU.,XXXXXXXXX,Dominique,20532,Short,XXXXXXXXX,Home Office,CA,7746 Hazy Prairie Drive,95112,4,Apparel,37.33271027,-121.8783722,Pacific Asia,Guangzhou,China,20532,2/25/2018 16:49,79226,1363,8.630000114,0.039999999,182541,215.8200073,0.449999988,1,215.8200073,207.1900024,93.23000336,Eastern Asia,Guangdong,PROCESSING,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,2/26/2018 4:49,Same Day
PAYMENT,4,4,-66.77999878,38.15999985,Shipping on time,0,75,Video Games,Las Vegas,EE. UU.,XXXXXXXXX,Sheila,19951,Allen,XXXXXXXXX,Consumer,NV,6538 Quaking Subdivision,89103,9,Discs Shop,36.11117935,-115.2110291,Pacific Asia,Thiruvananthapuram,India,19951,2/18/2018 5:16,78453,1362,1.590000033,0.039999999,181768,39.75,-1.75,1,39.75,38.15999985,-66.77999878,South Asia,Kerala,PAYMENT_REVIEW,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/22/2018 5:16,Standard Class
CASH,5,4,3.460000038,39.34999847,Late delivery,1,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Noel,19882,Pickett,XXXXXXXXX,Home Office,PR,595 Hidden Parade,725,9,Discs Shop,18.26457024,-66.03705597,Pacific Asia,Lahore,Pakistán,19882,2/17/2018 5:05,78943,1362,0.400000006,0.01,182258,39.75,0.090000004,1,39.75,39.34999847,3.460000038,South Asia,Punyab,CLOSED,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/22/2018 5:05,Standard Class
TRANSFER,2,2,8.680000305,33.38999939,Shipping on time,0,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Josephine,19834,Harding,XXXXXXXXX,Consumer,PR,1208 Cotton Bluff Carrefour,725,9,Discs Shop,18.21447754,-66.03705597,Pacific Asia,Newcastle,Australia,19834,2/16/2018 12:16,79049,1362,6.360000134,0.159999996,182364,39.75,0.25999999,1,39.75,33.38999939,8.680000305,Oceania,Nueva Gales del Sur,PENDING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/18/2018 12:16,Second Class
TRANSFER,1,0,12.71000004,32.59999847,Shipping canceled,0,75,Video Games,Los Angeles,EE. UU.,XXXXXXXXX,Taylor,20336,Knight,XXXXXXXXX,Corporate,CA,7909 Amber View,90024,9,Discs Shop,34.06435013,-118.437088,Pacific Asia,Sydney,Australia,20336,2/22/2018 20:09,78387,1362,7.159999847,0.180000007,181702,39.75,0.389999986,1,39.75,32.59999847,12.71000004,Oceania,Nueva Gales del Sur,CANCELED,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/23/2018 8:09,Same Day
DEBIT,2,1,95.40000153,304.8099976,Late delivery,1,73,Sporting Goods,Ontario,EE. UU.,XXXXXXXXX,Jamalia,19328,Randall,XXXXXXXXX,Corporate,CA,6030 Honey Pond Thicket,91764,2,Fitness,34.07656479,-117.61409,Pacific Asia,Suzhou,China,19328,2/10/2018 3:00,77376,1360,,0.07,180691,327.75,0.310000002,1,327.75,304.8099976,95.40000153,Eastern Asia,Gansu,COMPLETE,,1360,73,,http://images.acmesports.sports/Smart+watch ,Smart watch ,327.75,0,2/12/2018 3:00,First Class
TRANSFER,3,4,-8.609999657,36.97000122,Advance shipping,0,75,Video Games,Caguas,Puerto Rico,XXXXXXXXX,Carolyn,20020,Baker,XXXXXXXXX,Consumer,PR,4791 Harvest Quail Limits,725,9,Discs Shop,18.27241707,-66.03704834,Pacific Asia,Antipolo,Filipinas,20020,2/19/2018 5:26,79078,1362,2.779999971,0.07,182393,39.75,-0.230000004,1,39.75,36.97000122,-8.609999657,Southeast Asia,Calabarzón,PENDING,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,2/22/2018 5:26,Standard Class
